,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
claude-opus-4-6::run1,1.783,0.532,0.884,2.857,0.008,0.01,4196.0,2796.0,1.0
claude-opus-4-6::run4,1.728,0.529,0.733,2.697,0.008,0.009,4190.0,2575.0,1.0
claude-sonnet-4-5::run1,1.688,0.507,0.737,2.633,0.008,0.008,4016.0,3026.0,1.0
claude-opus-4-6::run5,1.65,0.511,0.684,2.593,0.008,0.008,4372.0,3242.0,1.0
claude-sonnet-4-5::run3,1.646,0.496,0.734,2.577,0.008,0.008,3820.0,3070.0,1.0
claude-sonnet-4-5::run4,1.594,0.509,0.63,2.593,0.008,0.009,4518.0,2735.0,1.0
claude-sonnet-4-5::run5,1.548,0.502,0.645,2.522,0.008,0.008,3834.0,2816.0,1.0
claude-opus-4-6::run2,1.405,0.494,0.546,2.41,0.009,0.008,3220.0,2439.0,1.0
claude-sonnet-4-5::run2,1.403,0.492,0.544,2.376,0.009,0.008,3315.0,2637.0,1.0
claude-opus-4-6::run3,1.394,0.476,0.507,2.318,0.008,0.008,3860.0,2610.0,1.0
claude-haiku-4-5::run5,0.382,0.405,-0.362,1.132,0.008,0.006,2674.0,3079.0,1.0
claude-haiku-4-5::run4,0.201,0.389,-0.535,0.925,0.007,0.006,3074.0,3003.0,1.0
claude-haiku-4-5::run3,0.158,0.375,-0.566,0.855,0.007,0.006,3132.0,2698.0,1.0
claude-haiku-4-5::run2,0.155,0.38,-0.58,0.844,0.007,0.005,2827.0,2649.0,1.0
claude-haiku-4-5::run1,-0.287,0.371,-0.919,0.46,0.007,0.005,2888.0,3194.0,1.0
